Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.27,7.77,2.24,0.517,F6IV/V,17.722107,1
7.71,2.25,0.98,1.253,K1/K2III,14.470913,1
8.88,1.02,1.19,1.169,K1III,13.923,1
7.78,4.53,1.05,1.302,M3III,16.060492,1
8.55,12.6,1.18,0.435,F5V,19.051853,0
11.55,24.32,3.25,1.395,M2V:,23.479816,0
6.68,4.43,0.73,1.212,K1III,14.91202,1
8.85,4.41,0.77,0.585,F8/G0V,17.072193,0
4.89,52.94,0.77,0.487,F5V,18.508919,0
8.88,4.78,1.23,1.14,K2III,17.27714,1
7.7,5.09,1.26,1.2,K0III/IV,16.23359,1
8.6,15.08,1.1,0.7,G6V,19.492008,0
8.44,1.58,1.05,0.127,A3V,14.433285,0
7.95,29.35,0.95,0.755,K0V,20.28804,0
8.48,11.58,1.13,0.473,F3V,18.798542,0
8.97,20.86,2.16,0.807,G6/G8V,20.566574,0
8.34,4.31,1.11,0.409,F3V,16.512386,0
7.75,4.71,0.89,1.152,K2III,16.115105,1
8.34,17.0,0.82,0.619,G4V,19.492245,0
5.41,5.61,0.92,1.346,K2III,14.154814,1
6.93,7.77,0.88,0.994,K0III,16.382105,1
9.04,27.46,1.09,0.891,K1V,21.233503,0
7.85,7.57,1.06,0.561,F7V,17.24548,0
7.21,4.78,0.59,0.916,G8III,15.60714,1
8.98,3.36,1.48,0.966,K0IV,16.611696,1
7.09,2.16,0.77,0.137,B5II: SB,13.762269,1
8.85,8.01,0.94,0.518,F6V,18.368164,0
9.21,0.53,1.02,0.142,A0V,12.831379,0
9.92,29.15,1.54,1.071,K5V,22.243195,0
5.24,45.85,0.66,0.459,F3/F5V,18.546696,0
7.06,1.15,0.74,0.63,F5Ib-II,12.363489,1
8.45,10.91,1.15,0.481,F5V,18.639122,0
8.73,9.29,1.09,0.646,G3/G5V,18.570078,0
9.02,16.48,1.49,0.599,G3V,20.104786,0
8.17,1.34,1.1,1.14,K0III,13.805524,1
9.72,9.92,1.46,0.557,G1V,19.702559,0
9.34,10.46,1.33,0.695,G5V,19.437658,0
9.32,3.89,1.25,0.625,G3V,17.269749,0
7.91,10.93,1.05,0.392,F2V,18.1031,0
7.49,2.05,0.98,1.6,K4III,14.048769,1
6.53,7.97,0.79,1.041,K0III,16.037292,1
6.18,5.93,0.7,1.467,K4III,15.045273,1
6.58,6.88,0.76,0.99,K0III,15.767942,1
7.8,0.15,0.9,1.634,M1III,8.680456,1
6.56,6.05,0.87,1.074,K0III,15.468777,1
7.62,17.21,0.76,0.758,G5IV/V,18.798904,1
5.29,5.33,0.87,1.478,K4III,13.923636,1
8.25,9.81,1.21,0.448,F5V,18.208344,0
8.88,1.79,1.24,1.047,K0III/IV,15.144265,1
8.94,4.7,1.22,1.151,K2III,17.30049,1
10.05,9.1,1.47,0.643,G3/G5V,19.845207,0
9.0,5.47,0.93,0.415,F3V,17.689938,0
9.91,2.9,1.53,0.521,F6V,17.22199,0
8.73,15.32,1.34,0.707,K0V+...,19.656294,0
9.12,4.61,1.4,0.471,F3V,17.438503,0
9.23,5.62,1.23,0.995,K0III,17.978682,1
8.66,21.09,1.23,0.743,G8/K0V,20.280384,0
8.14,5.39,1.46,0.364,F0V,16.797943,0
7.22,1.73,0.6,0.054,B9.5IV,13.410231,1
8.15,5.91,0.96,0.029,A1V,17.007938,0
7.95,15.34,0.99,0.945,K1IV,18.879128,1
9.56,7.06,1.25,0.659,F8V,18.804024,0
8.51,4.18,0.96,0.873,G6III,16.615881,1
7.53,4.24,0.87,0.98,K0III,15.66683,1
8.8,6.35,1.36,0.725,G3/G5V,17.81387,0
9.86,5.72,1.59,0.601,F7/F8V,18.64698,0
6.71,1.21,0.8,-0.116,B2V,12.123927,0
7.22,49.18,0.78,0.775,K0V,20.678944,0
8.49,1.97,1.24,1.63,K5III,14.962331,1
7.94,0.92,0.81,0.501,A9Iab:,12.75894,1
7.8,2.95,0.75,1.099,F2V,15.149111,0
6.66,6.07,0.95,0.961,G8/K0III,15.575943,1
9.94,5.79,1.76,0.626,G0V,18.753391,0
11.44,1.56,3.02,1.2,M0V:,17.405622,0
9.03,3.85,1.46,1.263,K2III,16.957302,1
6.52,7.17,0.78,1.05,K1III,15.797596,1
8.17,-0.86,1.15,0.899,G8III,12.842492,1
7.57,14.72,0.86,0.453,F5IV,18.409538,1
7.55,5.66,0.98,1.24,K1/K2III,16.314083,1
7.21,3.38,0.91,1.53,K3/K4III,14.854584,1
2.83,9.79,0.81,-0.19,B2IV,12.783914,1
7.44,5.17,0.92,1.279,K1/K2III,16.007452,1
7.98,11.12,1.08,0.396,F2V,18.210524,0
